man,manLabel
http://www.wikidata.org/entity/Q57656,Erwin Panofsky
http://www.wikidata.org/entity/Q57696,Curt Sachs
http://www.wikidata.org/entity/Q59062,Vladimír Franz
http://www.wikidata.org/entity/Q59376,Q59376
http://www.wikidata.org/entity/Q59945,Jacob Burckhardt
http://www.wikidata.org/entity/Q60185,Aby Warburg
http://www.wikidata.org/entity/Q60239,Wilhelm Dörpfeld
http://www.wikidata.org/entity/Q60570,Leo Frobenius
http://www.wikidata.org/entity/Q60758,Ludwig Borchardt
http://www.wikidata.org/entity/Q61342,Gottfried Semper
http://www.wikidata.org/entity/Q61407,Ernst Curtius
http://www.wikidata.org/entity/Q61681,Oliver Grau
http://www.wikidata.org/entity/Q61682,Nikolaus Pevsner
http://www.wikidata.org/entity/Q61981,Wilhelm Worringer
http://www.wikidata.org/entity/Q62110,Max Friedländer
http://www.wikidata.org/entity/Q62260,Hermann Muthesius
http://www.wikidata.org/entity/Q62661,Herwarth Walden
http://www.wikidata.org/entity/Q62933,Ernst Herzfeld
http://www.wikidata.org/entity/Q63182,Christian Gottlob Heyne
http://www.wikidata.org/entity/Q63876,Adolf Friedrich von Schack
http://www.wikidata.org/entity/Q63895,Paul Oskar Kristeller
http://www.wikidata.org/entity/Q64142,August Mau
http://www.wikidata.org/entity/Q64154,Joseph Anselm Feuerbach
http://www.wikidata.org/entity/Q64166,Adolf Schulten
http://www.wikidata.org/entity/Q64489,Wilhelm Heinse
http://www.wikidata.org/entity/Q64509,Franz Theodor Kugler
http://www.wikidata.org/entity/Q64607,Wilhelm von Bode
http://www.wikidata.org/entity/Q64637,Anton Springer
http://www.wikidata.org/entity/Q65292,Herman Grimm
http://www.wikidata.org/entity/Q65690,Albert Grünwedel
http://www.wikidata.org/entity/Q65764,Konrad Fiedler
http://www.wikidata.org/entity/Q66001,Otto Jahn
http://www.wikidata.org/entity/Q66092,Theodor Wiegand
http://www.wikidata.org/entity/Q66108,Ernst Ziller
http://www.wikidata.org/entity/Q66113,Friedrich Adler
http://www.wikidata.org/entity/Q66209,Hans Belting
http://www.wikidata.org/entity/Q66282,Carl Einstein
http://www.wikidata.org/entity/Q66832,Franz Roh
http://www.wikidata.org/entity/Q66921,Eduard Gerhard
http://www.wikidata.org/entity/Q67076,Ludwig Geiger
http://www.wikidata.org/entity/Q67093,Hans Prinzhorn
http://www.wikidata.org/entity/Q67263,Sulpiz Boisserée
http://www.wikidata.org/entity/Q67392,Walter Andrae
http://www.wikidata.org/entity/Q67413,Eduard Joseph d'Alton
http://www.wikidata.org/entity/Q67620,Philipp Vandenberg
http://www.wikidata.org/entity/Q67762,Daniel-Henry Kahnweiler
http://www.wikidata.org/entity/Q68216,Werner Wolf Glaser
http://www.wikidata.org/entity/Q68325,Gottfried Kinkel
http://www.wikidata.org/entity/Q68618,Friedrich Blume
http://www.wikidata.org/entity/Q68791,Henry Thode
http://www.wikidata.org/entity/Q68824,Julius Langbehn
http://www.wikidata.org/entity/Q68860,Boris Groys
http://www.wikidata.org/entity/Q69297,Otto Hirschfeld
http://www.wikidata.org/entity/Q69574,Wilhelm Uhde
http://www.wikidata.org/entity/Q69685,Friedrich Creuzer
http://www.wikidata.org/entity/Q69896,Christian Hülsen
http://www.wikidata.org/entity/Q70092,Benjamin H.D. Buchloh
http://www.wikidata.org/entity/Q70348,Wilhelm Adolf Becker
http://www.wikidata.org/entity/Q70362,Kurt Weitzmann
http://www.wikidata.org/entity/Q70423,Wolfgang Helbig
http://www.wikidata.org/entity/Q70476,Walter Friedländer
http://www.wikidata.org/entity/Q70510,Theodor Panofka
http://www.wikidata.org/entity/Q70804,Adolph Goldschmidt
http://www.wikidata.org/entity/Q70844,Otto Brendel
http://www.wikidata.org/entity/Q71106,Karl Hillebrand
http://www.wikidata.org/entity/Q71255,Ludwig von Sybel
http://www.wikidata.org/entity/Q71453,Albert von Le Coq
http://www.wikidata.org/entity/Q71874,Liang Sicheng
http://www.wikidata.org/entity/Q72033,Dietrich von Bothmer
http://www.wikidata.org/entity/Q72044,Wolfgang Welsch
http://www.wikidata.org/entity/Q72139,Helmut Gernsheim
http://www.wikidata.org/entity/Q72289,Johann Gustav Gottlieb Büsching
http://www.wikidata.org/entity/Q72294,Edgar Wind
http://www.wikidata.org/entity/Q72622,Wilhelm Abeken
http://www.wikidata.org/entity/Q72770,Johann Georg von Hohenzollern
