woman,womanLabel
http://www.wikidata.org/entity/Q974607,Alda Levi Spinazzola
http://www.wikidata.org/entity/Q981131,Sigrid Metken
http://www.wikidata.org/entity/Q994513,Q994513
http://www.wikidata.org/entity/Q994605,Q994605
http://www.wikidata.org/entity/Q995494,Q995494
http://www.wikidata.org/entity/Q1008260,Klára Garas
http://www.wikidata.org/entity/Q1009950,Teréz Gerszi
http://www.wikidata.org/entity/Q1041555,Carla Schulz-Hoffmann
http://www.wikidata.org/entity/Q1044198,Carol Strickland
http://www.wikidata.org/entity/Q1044221,Carola Giedion-Welcker
http://www.wikidata.org/entity/Q1067188,Charlotte Fränkel
http://www.wikidata.org/entity/Q1067237,Charlotte Klonk
http://www.wikidata.org/entity/Q1067592,Charmion Von Wiegand
http://www.wikidata.org/entity/Q1078120,Christa Maar
http://www.wikidata.org/entity/Q1078134,Christa Murken
http://www.wikidata.org/entity/Q1078161,Christa Pieske
http://www.wikidata.org/entity/Q1078205,Christa Steinle
http://www.wikidata.org/entity/Q1082742,Christiane Lange
http://www.wikidata.org/entity/Q1082786,Christiane Paul
http://www.wikidata.org/entity/Q1082859,Christiane Vorster
http://www.wikidata.org/entity/Q1083064,Christin Feldmann
http://www.wikidata.org/entity/Q1083678,Christine Litz
http://www.wikidata.org/entity/Q1089972,Q1089972
http://www.wikidata.org/entity/Q1097431,Claudia Emmert
http://www.wikidata.org/entity/Q222961,Rose Valland
http://www.wikidata.org/entity/Q227414,Q227414
http://www.wikidata.org/entity/Q237687,Anita Brookner
http://www.wikidata.org/entity/Q238890,Kathleen Kenyon
http://www.wikidata.org/entity/Q257451,Q257451
http://www.wikidata.org/entity/Q270319,Christiane Desroches Noblecourt
http://www.wikidata.org/entity/Q274627,Anna Brownell Jameson
http://www.wikidata.org/entity/Q275730,Agnès Humbert
http://www.wikidata.org/entity/Q292463,Catherine Millet
http://www.wikidata.org/entity/Q371210,Q371210
http://www.wikidata.org/entity/Q377495,Adrienne Lezzi-Hafter
http://www.wikidata.org/entity/Q394528,Agnes Gosche
http://www.wikidata.org/entity/Q394549,Agnes Husslein-Arco
http://www.wikidata.org/entity/Q431963,Rosalind Krauss
http://www.wikidata.org/entity/Q433981,Françoise Cachin
