woman,womanLabel,citizenships
http://www.wikidata.org/entity/Q4367947,Olga Podobedova,Russia/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q4383262,Galina Pugachenkova,Uzbekistan/Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4393190,Lazar Rempel,Russia/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q4415832,L. P. Semenov,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4427453,Mikhail Sokolnikov,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4428273,Georgy Solomin,Repubblica Socialista Federativa Sovietica Russa/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q4443009,Abram Stolyar,Russia/Unione Sovietica/RSS Ucraina
http://www.wikidata.org/entity/Q4481261,Boris Farmakovsky,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4482403,Leonid E. Feinberg,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q4506009,Irakli Tsitsishvili,Georgia/Unione Sovietica/Repubblica Democratica di Georgia
http://www.wikidata.org/entity/Q4521120,Emerich Schaffran,Austria/Germania nazista/Impero austro-ungarico
http://www.wikidata.org/entity/Q2558076,Shikaripura Ranganatha Rao,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q2591295,Avigdor Arikha,Francia/Romania/Israele
http://www.wikidata.org/entity/Q1188802,Randhawa,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q4751257,Anand Krishna,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q2828862,Ajit Mookerjee,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q1255520,Alfred Isidore Römer,Polonia/Lituania/Bielorussia/Impero russo
http://www.wikidata.org/entity/Q1285631,Ljubo Babić,"Croazia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q5006864,Calambur Sivaramamurti,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q5227757,Dattatraya Ganesh Godse,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q12054170,Izidor Cankar,Impero austro-ungarico/Regno di Jugoslavia/Federal People's Republic of Yugoslavia
http://www.wikidata.org/entity/Q5529951,Geeta Kapur,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q2951068,Franciscus Junius,Paesi Bassi/Francia/Regno Unito
http://www.wikidata.org/entity/Q2960213,Charles Sedelmeyer,Francia/Impero austro-ungarico/Impero austriaco
http://www.wikidata.org/entity/Q12152590,Savyna Sydorovych,Unione Sovietica/Impero austro-ungarico/Seconda Repubblica di Polonia
http://www.wikidata.org/entity/Q12164542,Q12164542,Ucraina/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q16273412,Kārlis Baumanis,Lettonia/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q16370667,Q16370667,Azerbaigian/Unione Sovietica/Repubblica Democratica di Azerbaigian
